trials_H,mode_H,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,win_ns,emit_photons_total_mean_H,emit_photons_total_sem_H,det_photons_total_mean_H,det_photons_total_sem_H,gate_photons_mean_H,gate_photons_sem_H,coincidence_ratio_mean_H,coincidence_ratio_sem_H,peak_sharpness_mean_H,peak_sharpness_sem_H,p2rms_mean_H,p2rms_sem_H,snr_mean_H,snr_sem_H,R_before_mean_H,R_before_sem_H,R_after_mean_H,R_after_sem_H,sync_gain_mean_H,sync_gain_sem_H,mean_phase_reset_mean_H,mean_phase_reset_sem_H,__source___H,qe,eta_geom,dark_cps,deadtime_ns,prc_eps,prc_threshold,distance_um_H,trials_A,mode_A,emit_photons_total_mean_A,emit_photons_total_sem_A,det_photons_total_mean_A,det_photons_total_sem_A,gate_photons_mean_A,gate_photons_sem_A,coincidence_ratio_mean_A,coincidence_ratio_sem_A,peak_sharpness_mean_A,peak_sharpness_sem_A,p2rms_mean_A,p2rms_sem_A,snr_mean_A,snr_sem_A,R_before_mean_A,R_before_sem_A,R_after_mean_A,R_after_sem_A,sync_gain_mean_A,sync_gain_sem_A,mean_phase_reset_mean_A,mean_phase_reset_sem_A,__source___A,distance_um_A,snr_gap,snr_ratio,coincidence_ratio_mean_gap,coincidence_ratio_mean_ratio,p2rms_mean_gap,p2rms_mean_ratio,peak_sharpness_mean_gap,peak_sharpness_mean_ratio,gate_photons_mean_gap,gate_photons_mean_ratio,det_photons_total_mean_gap,det_photons_total_mean_ratio
12,hypothesis,24,1.1,3.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.1,1706800.5022729223,6278.912026886661,404174.6124888625,1559.1955243570037,398233.2446122536,1545.565218443267,0.9852990159082696,3.949335117336042e-05,117.98733612818592,0.1329928126778513,13.230154482263655,0.0086567674681561,631.0441404679854,1.226131880538447,0.1862545410256928,0.026686953146732,0.2423349647118629,0.0451792773813206,0.05608042368617,0.0318948585145645,0.236366362297464,0.0066509750906936,sweep_network_compact_gated.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,10278.389017403597,93.61337463803048,538.3495609596963,6.417695444135688,0.0523653384061799,0.000233663500145,5.384290918348145,0.0247914340703333,3.318707608488392,0.0082288640921631,23.19779984851103,0.1387093580503766,0.1486524634460377,0.0375548375404561,0.1962517875449568,0.0333938990166757,0.047599324098919,0.0245236184496785,0.1662101736592094,0.0075662114312749,sweep_network_compact_gated.csv,,607.8463406194743,27.202758217973397,0.9329336775020898,18.815862665980394,9.911446873775263,3.986538147688684,112.60304520983777,21.913254301716563,397694.89505129395,739.7298586114524,393896.2234714589,39.32275882966728
12,hypothesis,24,1.1,5.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.1,1706800.5022729223,6278.912026886661,400579.320631676,1593.6041700633198,394690.819127376,1579.4458845946465,0.9852990168425766,3.949385731344431e-05,117.98733829879114,0.1329946695293274,13.230154618926068,0.0086568778071759,628.2303643630934,1.2587302255897128,0.1862545410256928,0.026686953146732,0.2423349647118629,0.0451792773813206,0.05608042368617,0.0318948585145645,0.236366362297464,0.0066509750906936,sweep_network_compact_gated.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,10186.024034735772,92.57221786291952,533.5074922543794,6.348373022719113,0.0523649625300012,0.000233627408821,5.384250827498423,0.0247879809173549,3.3186935267682074,0.0082289911219421,23.09325727775722,0.1378274796760876,0.1486524634460377,0.0375548375404561,0.1962517875449568,0.0333938990166757,0.047599324098919,0.0245236184496785,0.1662101736592094,0.0075662114312749,sweep_network_compact_gated.csv,,605.1371070853362,27.204060337048567,0.9329340543125754,18.81599774425646,9.911461092157861,3.98655510435451,112.60308747129272,21.913417869800327,394157.31163512164,739.8037044607898,390393.29659694026,39.32636711494537
12,hypothesis,24,1.1,3.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.2,1706800.5022729223,6278.912026886661,404174.6124888625,1559.1955243570037,404153.7110386186,1559.1445690054434,0.9999482829079686,3.275131736008083e-07,117.98733612818592,0.1329928126778513,13.230154482263655,0.0086567674681561,635.7178065734729,1.2277638219411555,0.1862545410256928,0.026686953146732,0.1862545410256928,0.026686953146732,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,10278.389017403597,93.61337463803048,1046.9360270804048,12.361652041629798,0.1018364499327276,0.0004401365979459,5.384290918348145,0.0247914340703333,3.318707608488392,0.0082288640921631,32.350150665164435,0.1915911882500884,0.1486524634460377,0.0375548375404561,0.1486524634460377,0.0375548375404561,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,603.3676559083085,19.6511544305737,0.898111832975241,9.819158892209291,9.911446873775263,3.986538147688684,112.60304520983777,21.913254301716563,403106.7750115382,386.034772502465,393896.2234714589,39.32275882966728
12,hypothesis,24,1.1,7.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.1,1706800.5022729223,6278.912026886661,397018.0693960509,1627.6382802297728,391181.9336244262,1612.952239422394,0.9852990177803927,3.94943625002916e-05,117.9873404797837,0.1329965232990886,13.230154756229204,0.0086569879570933,625.4307249609593,1.2912960097563706,0.1862545410256928,0.026686953146732,0.2423349647118629,0.0451792773813206,0.05608042368617,0.0318948585145645,0.236366362297464,0.0066509750906936,sweep_network_compact_gated.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,10094.539702019576,91.56099234556372,528.7116206591521,6.280573402814155,0.0523645857481569,0.0002335925178576,5.384210638638492,0.0247846549336661,3.318679401422253,0.0082291598959851,22.98924223570944,0.136967841290482,0.1486524634460377,0.0375548375404561,0.1962517875449568,0.0333938990166757,0.047599324098919,0.0245236184496785,0.1662101736592094,0.0075662114312749,sweep_network_compact_gated.csv,,602.4414827252499,27.20536495063204,0.9329344320322358,18.816133149970973,9.911475354806951,3.986572113762869,112.6031298411452,21.91358184114788,390653.22200376703,739.8776919953722,386923.5296940313,39.32998245740922
12,hypothesis,24,1.1,5.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.2,1706800.5022729223,6278.912026886661,400579.320631676,1593.6041700633198,400558.6051466921,1593.5509598076355,0.9999482829249012,3.275112968007243e-07,117.98733829879114,0.1329946695293274,13.230154618926068,0.0086568778071759,632.8831845511132,1.2605864122298485,0.1862545410256928,0.026686953146732,0.1862545410256928,0.026686953146732,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,10186.024034735772,92.57221786291952,1037.5198967114632,12.227969101289714,0.1018357456798942,0.000440062160904,5.384250827498423,0.0247879809173549,3.3186935267682074,0.0082289911219421,32.2043668844833,0.1903705184057411,0.1486524634460377,0.0375548375404561,0.1486524634460377,0.0375548375404561,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,600.6788176666299,19.6520921159934,0.8981125372450071,9.819226797514624,9.911461092157861,3.98655510435451,112.60308747129272,21.913417869800327,399521.0852499806,386.0731793349775,390393.29659694026,39.32636711494537
12,hypothesis,24,1.1,10.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.1,1706800.5022729223,6278.912026886661,391739.2840651055,1677.9392194657134,385980.7689990897,1662.464099619364,0.9852990191937128,3.949511848286144e-05,117.9873437708087,0.1329992981411155,13.230154963389088,0.0086571528253672,621.2576085588777,1.3400409353325595,0.1862545410256928,0.026686953146732,0.2423349647118629,0.0451792773813206,0.05608042368617,0.0318948585145645,0.236366362297464,0.0066509750906936,sweep_network_compact_gated.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,9958.94532060194,90.09930177938796,521.6034304557988,6.181681504106918,0.0523640188829191,0.0002335424623303,5.384150172153082,0.0247799075790204,3.318658131619137,0.0082294922560563,22.834202673483105,0.1357198719608586,0.1486524634460377,0.0375548375404561,0.1962517875449568,0.0333938990166757,0.047599324098919,0.0245236184496785,0.1662101736592094,0.0075662114312749,sweep_network_compact_gated.csv,,598.4234058853946,27.20732654616977,0.9329350003107937,18.816336870490144,9.911496831769952,3.986597726754771,112.60319359865562,21.913828552004603,385459.16556863394,739.9889388415326,381780.33874450356,39.335418706910616
12,hypothesis,24,1.1,7.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.2,1706800.5022729223,6278.912026886661,397018.0693960509,1627.6382802297728,396997.5381154897,1627.5828494537832,0.999948282941893,3.275094308266854e-07,117.9873404797837,0.1329965232990886,13.230154756229204,0.0086569879570933,630.0628039730404,1.293380528823329,0.1862545410256928,0.026686953146732,0.1862545410256928,0.026686953146732,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,10094.539702019576,91.56099234556372,1028.1936017365654,12.09724919110526,0.1018350397548853,0.0004399899878771,5.384210638638492,0.0247846549336661,3.318679401422253,0.0082291598959851,32.059318734136575,0.1891810185571185,0.1486524634460377,0.0375548375404561,0.1486524634460377,0.0375548375404561,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,598.0034852389039,19.653031594278804,0.8981132431870077,9.819294864996827,9.911475354806951,3.986572113762869,112.6031298411452,21.91358184114788,395969.34451375314,386.11165975452633,386923.5296940313,39.32998245740922
12,hypothesis,24,1.0,3.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.1,1651738.1897755666,6069.284784359095,391135.71546964295,1507.1651023382835,385386.0318471333,1493.9903863503555,0.985299049815525,3.9496480248153165e-05,117.9874662074946,0.1330049493214903,13.230163167991142,0.008657567217175,620.7818167062122,1.204834732765329,0.1862545410256928,0.026686953146732,0.2423345517824861,0.0451794039597119,0.0560800107567932,0.0318949039241491,0.2363653145535838,0.0066509224741389,sweep_network_compact_gated.csv,,,,,,,,12,antithesis,46312.477898506135,424.7884701713375,10965.396951561825,100.22465957340437,574.3307082484466,6.864135488930777,0.0523651024814443,0.0002336235315522,5.3842658071506575,0.0247873506627752,3.318700002737628,0.0082282162525422,23.96046277457333,0.1436320661629367,0.1486524634460377,0.0375548375404561,0.1963674649554788,0.0334431070521189,0.047715001509441,0.024536675157665,0.1663245126763334,0.0075928737944768,sweep_network_compact_gated.csv,,596.8213539316389,25.908590436950217,0.9329339473340806,18.815948086126024,9.911463165253513,3.986549901189457,112.60320040034395,21.913380660144885,384811.7011388849,671.0176320232928,380170.3185180811,35.67000056609284
12,hypothesis,24,1.0,5.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.1,1651738.1897755666,6069.284784359095,387656.4069487712,1540.4450033203918,381957.8841303427,1526.7602532762646,0.9852990507500058,3.949698630128952e-05,117.98746837918172,0.1330068053952492,13.230163304702842,0.0086576774999491,618.013798782841,1.2368818692377217,0.1862545410256928,0.026686953146732,0.2423345517824861,0.0451794039597119,0.0560800107567932,0.0318949039241491,0.2363653145535838,0.0066509224741389,sweep_network_compact_gated.csv,,,,,,,,12,antithesis,46312.477898506135,424.7884701713375,10866.853347958251,99.11541619973232,569.1647570786955,6.790199155442175,0.0523647267814794,0.0002335874697211,5.384225735420863,0.0247838993286404,3.318685928895603,0.0082283387519482,23.85247760866197,0.1427231920297454,0.1486524634460377,0.0375548375404561,0.1963674649554788,0.0334431070521189,0.047715001509441,0.024536675157665,0.1663245126763334,0.0075928737944768,sweep_network_compact_gated.csv,,594.1613211741791,25.90983666025582,0.9329343239685264,18.81608310230869,9.91147737580724,3.9865668484952397,112.60324264376086,21.913544152316103,381388.719373264,671.0849176445605,376789.553600813,35.67328963923187
12,hypothesis,24,1.1,10.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.2,1706800.5022729223,6278.912026886661,391739.2840651055,1677.9392194657134,391719.0258276095,1677.8805237530005,0.9999482829674918,3.275066521475553e-07,117.9873437708087,0.1329992981411155,13.230154963389088,0.0086571528253672,625.8587709851063,1.342474263093281,0.1862545410256928,0.026686953146732,0.1862545410256928,0.026686953146732,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,,,,,,,12,antithesis,43410.862741771845,396.80079537169627,9958.94532060194,90.09930177938796,1014.3706513963166,11.906632016935292,0.1018339777431379,0.0004398860308266,5.384150172153082,0.0247799075790204,3.318658131619137,0.0082294922560563,31.8431172875078,0.1874549173289056,0.1486524634460377,0.0375548375404561,0.1486524634460377,0.0375548375404561,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,594.0156536975985,19.654444171853537,0.8981143052243539,9.819397269246643,9.911496831769952,3.986597726754771,112.60319359865562,21.913828552004603,390704.6551762132,386.1695183002334,381780.33874450356,39.335418706910616
12,hypothesis,24,1.0,3.0,1.0,20.0,0.0,0.0,0.0,6.0,0.05,0.2,1651738.1897755666,6069.284784359095,391135.71546964295,1507.1651023382835,391115.4883426495,1507.115938419869,0.9999482829835106,3.275130476121327e-07,117.9874662074946,0.1330049493214903,13.230163167991142,0.008657567217175,625.3794671487491,1.2064377085954758,0.1862545410256928,0.026686953146732,0.1862545410256928,0.026686953146732,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,,,,,,,12,antithesis,46312.477898506135,424.7884701713375,10965.396951561825,100.22465957340437,1116.909204421807,13.221906618721263,0.1018360065938416,0.000440058675677,5.3842658071506575,0.0247873506627752,3.318700002737628,0.0082282162525422,33.41371327207068,0.1983957912069693,0.1486524634460377,0.0375548375404561,0.1486524634460377,0.0375548375404561,0.0,0.0,0.0,0.0,sweep_net_prcA0.csv,,591.9657538766784,18.716251679560596,0.898112276389669,9.81920164025738,9.911463165253513,3.986549901189457,112.60320040034395,21.913380660144885,389998.5791382277,350.17661847018184,380170.3185180811,35.67000056609284
